severity,file,line,category,key,detail
review,runtime_overrides_zh.txt,42,译文英文残留,DEBUG CONSOLE [SHIFT + ENTER]\:,"残留英文：SHIFT, ENTER"
review,runtime_overrides_zh.txt,190,原译文相同,Tab,需要确认是专名、按键还是漏翻。
review,runtime_overrides_zh.txt,191,原译文相同,Shift,需要确认是专名、按键还是漏翻。
review,runtime_overrides_zh.txt,197,原译文相同,Esc,需要确认是专名、按键还是漏翻。
review,runtime_plugin_overrides_zh.txt,308,译文英文残留,Hire Esty8nine!,"残留英文：Esty, nine"
review,translations_zh.csv,34,CSV 原译文相同,BOSS_Kraken_2,AwoOoO-GyaAa-AaA!!!
review,translations_zh.csv,43,CSV 原译文相同,BOSS_RedDragon_2,GrRr-RoO-ARrRrR!
review,translations_zh.csv,495,CSV 英文残留,Dev_Message_2,"残留英文：Into, the, Abyss"
review,translations_zh.csv,532,CSV 原译文相同,BOSS_Book_Golem_2,BZ-Z-z-AGu-rGya-gya!
review,translations_zh.csv,538,CSV 原译文相同,BOSS_Ice_Dragon_2,SHiRr-iRoO-ARrIiRriR!
review,translations_zh.csv,555,CSV 原译文相同,BOSS_Arcane_Golem_3,ZIMmM-AWEio-MaEWOoa!
review,translations_zh.csv,558,CSV 原译文相同,BOSS_The_Abomination_2,RAaaAghH-RAaa-GrRRRr!!!!!!!
review,translations_zh.csv,853,CSV 原译文相同,Boss_Bahamut_8,VRuRrRr-RroOu-AORrrRrR!
review,translations_zh.csv,869,CSV 原译文相同,BOSS_Tiamat_8,KrAaAa-RraAa-AARrrRrR!
review,translations_zh.csv,886,CSV 原译文相同,BOSS_Geryon_8,SkRrEeEa-AaAa-AARrrRrR!
review,translations_zh.csv,1065,CSV 英文残留,AUTO_RESOURCES_ASSETS_7E8315,"残留英文：nbWNB, ER"
review,translations_zh.csv,1066,CSV 英文残留,AUTO_RESOURCES_ASSETS_7ED066,"残留英文：wl, ZPD, GKMQQQQQQQQQQQQQQQQQQ"
review,translations_zh.csv,1067,CSV 原译文相同,AUTO_RESOURCES_ASSETS_7EDC64,xm`UKA8-?KXcnsxxxxxxxxxxxxxxxxxxxxxxx}
review,translations_zh.csv,1067,CSV 英文残留,AUTO_RESOURCES_ASSETS_7EDC64,"残留英文：xm, UKA, KXcnsxxxxxxxxxxxxxxxxxxxxxxx"
review,translations_zh.csv,1068,CSV 英文残留,AUTO_RESOURCES_ASSETS_7F2063,"残留英文：zm, VLA, EIKNNNNNNNNNNNNNNNNNNNNNNPNNNNNNNNNNNNNNNNHFB"
review,translations_zh.csv,1069,CSV 原译文相同,AUTO_RESOURCES_ASSETS_7F31C7,"sfZOUT\`cgikfmmmgkjhfb`\TSPID?8/'"""
review,translations_zh.csv,1069,CSV 英文残留,AUTO_RESOURCES_ASSETS_7F31C7,"残留英文：sfZOUT, cgikfmmmgkjhfb, TSPID"
review,translations_zh.csv,1070,CSV 英文残留,AUTO_RESOURCES_ASSETS_801E9D,"残留英文：DNTW, adgjgmnoooponmmfdbZPE"
review,translations_zh.csv,1071,CSV 原译文相同,AUTO_RESOURCES_ASSETS_803CAC,"""(.49@ELRV^ainmh^WND?8/-,(#(+/8ALVan{"
review,translations_zh.csv,1071,CSV 英文残留,AUTO_RESOURCES_ASSETS_803CAC,"残留英文：ELRV, ainmh, WND, ALVan"
review,translations_zh.csv,1072,CSV 英文残留,AUTO_RESOURCES_ASSETS_803F71,"残留英文：uqmgeb, TUSPIJHFB"
review,translations_zh.csv,1073,CSV 原译文相同,AUTO_RESOURCES_ASSETS_804370,unid`]UUSQJKHFD?>;:6154*
review,translations_zh.csv,1073,CSV 英文残留,AUTO_RESOURCES_ASSETS_804370,"残留英文：unid, UUSQJKHFD"
review,translations_zh.csv,1074,CSV 原译文相同,AUTO_RESOURCES_ASSETS_80476F,vma^WTQKIFD@>;973-.06:AENT\`edbZPF<1'
review,translations_zh.csv,1074,CSV 英文残留,AUTO_RESOURCES_ASSETS_80476F,"残留英文：vma, WTQKIFD, AENT, edbZPF"
review,translations_zh.csv,1075,CSV 原译文相同,AUTO_RESOURCES_ASSETS_804DBB,"""'-37:AFGJPSUX[S[``aaba``\T[YVSQKFD?8/*%"
review,translations_zh.csv,1075,CSV 英文残留,AUTO_RESOURCES_ASSETS_804DBB,"残留英文：AFGJPSUX, aaba, YVSQKFD"
review,translations_zh.csv,1076,CSV 原译文相同,AUTO_RESOURCES_ASSETS_81A7A4,'+./444444444444444444444446AMV`mx
review,translations_zh.csv,1076,CSV 英文残留,AUTO_RESOURCES_ASSETS_81A7A4,"残留英文：AMV, mx"
review,translations_zh.csv,1077,CSV 英文残留,AUTO_RESOURCES_ASSETS_81ABA3,"残留英文：DP, fp"
review,translations_zh.csv,1078,CSV 原译文相同,AUTO_RESOURCES_ASSETS_822280,'/3;BFHLRTT\`cgjnrmg\QE??@@AA@DFJPXalv
review,translations_zh.csv,1078,CSV 英文残留,AUTO_RESOURCES_ASSETS_822280,"残留英文：BFHLRTT, cgjnrmg, QE, AA, DFJPXalv"
review,translations_zh.csv,1079,CSV 原译文相同,AUTO_RESOURCES_ASSETS_82DA8A,"""+27>CKQSV^adgjhmnoonmlejifc`\UTRLFA;5/'"
review,translations_zh.csv,1079,CSV 英文残留,AUTO_RESOURCES_ASSETS_82DA8A,"残留英文：CKQSV, adgjhmnoonmlejifc, UTRLFA"
review,translations_zh.csv,1080,CSV 原译文相同,AUTO_RESOURCES_ASSETS_82DE8B,'+09@EFMRTW[V^aabba``[S\YVSQKGEA:60)$
review,translations_zh.csv,1080,CSV 英文残留,AUTO_RESOURCES_ASSETS_82DE8B,"残留英文：EFMRTW, aabba, YVSQKGEA"
review,translations_zh.csv,1081,CSV 原译文相同,AUTO_RESOURCES_ASSETS_8317B6,sfZMMRTV]`bdffgffeca`[TTRMFD?8/*%
review,translations_zh.csv,1081,CSV 英文残留,AUTO_RESOURCES_ASSETS_8317B6,"残留英文：sfZMMRTV, bdffgffeca, TTRMFD"
review,translations_zh.csv,1082,CSV 原译文相同,AUTO_RESOURCES_ASSETS_849E10,{nb[[[[[[[[[[[[[[[[[[[[[[[[[[[[XVQI?4)
review,translations_zh.csv,1082,CSV 英文残留,AUTO_RESOURCES_ASSETS_849E10,"残留英文：nb, XVQI"
review,translations_zh.csv,1083,CSV 英文残留,AUTO_RESOURCES_ASSETS_84A210,"残留英文：nhhhhhhhhhhhhhhhhhhhhhhhhhhhh, QE"
review,translations_zh.csv,1084,CSV 原译文相同,AUTO_RESOURCES_ASSETS_84B70B,(4?JT\`gfmnoqqpoonhigc`\TSMD@90*!
review,translations_zh.csv,1084,CSV 英文残留,AUTO_RESOURCES_ASSETS_84B70B,"残留英文：JT, gfmnoqqpoonhigc, TSMD"
review,translations_zh.csv,1085,CSV 英文残留,AUTO_RESOURCES_ASSETS_84E210,"残留英文：njjjjjjjjjjjjjjjjjjjjjjjjjjjjfc, RG"
review,translations_zh.csv,1086,CSV 原译文相同,AUTO_RESOURCES_ASSETS_84EC83,'.48?DFIMRTWY\T[``aa`\T\ZWTSMGFB;72+&
review,translations_zh.csv,1086,CSV 英文残留,AUTO_RESOURCES_ASSETS_84EC83,"残留英文：DFIMRTWY, aa, ZWTSMGFB"
review,translations_zh.csv,1087,CSV 英文残留,AUTO_RESOURCES_ASSETS_85019A,"残留英文：FQ, belllllllllllllllllldaZPE"
review,translations_zh.csv,1088,CSV 原译文相同,AUTO_RESOURCES_ASSETS_85F908,(4>HPVX[[[[[[[[[[[[[[[[[[[[[[[[[[[U`jr
review,translations_zh.csv,1088,CSV 英文残留,AUTO_RESOURCES_ASSETS_85F908,"残留英文：HPVX, jr"
review,translations_zh.csv,1089,CSV 原译文相同,AUTO_RESOURCES_ASSETS_85FC23,"""(-17:;BFHLRTU]`ddaZPC9/.5>EMSZahms{"
review,translations_zh.csv,1089,CSV 英文残留,AUTO_RESOURCES_ASSETS_85FC23,"残留英文：BFHLRTU, ddaZPC, EMSZahms"
review,translations_zh.csv,1090,CSV 原译文相同,AUTO_RESOURCES_ASSETS_86119A,"(2=FQ[dnsuuuuuuuuuuuuuuuutmf\QE8,"
review,translations_zh.csv,1090,CSV 英文残留,AUTO_RESOURCES_ASSETS_86119A,"残留英文：FQ, dnsuuuuuuuuuuuuuuuutmf, QE"
review,translations_zh.csv,1091,CSV 原译文相同,AUTO_RESOURCES_ASSETS_8648CA,'.4:AEIPSVV]`defgiiihgfda^VWSPJEA:4/'
review,translations_zh.csv,1091,CSV 英文残留,AUTO_RESOURCES_ASSETS_8648CA,"残留英文：AEIPSVV, defgiiihgfda, VWSPJEA"
review,translations_zh.csv,1092,CSV 原译文相同,AUTO_RESOURCES_ASSETS_86599F,"""'5=AIPT[`bfgmnoppomhhd`]URLD?8/'"
review,translations_zh.csv,1092,CSV 英文残留,AUTO_RESOURCES_ASSETS_86599F,"残留英文：AIPT, bfgmnoppomhhd, URLD"
review,translations_zh.csv,1093,CSV 原译文相同,AUTO_RESOURCES_ASSETS_86682F,(/5:AFGNSUYV^acdeefeedca^VYVSPJGC<60)$
review,translations_zh.csv,1093,CSV 英文残留,AUTO_RESOURCES_ASSETS_86682F,"残留英文：AFGNSUYV, acdeefeedca, VYVSPJGC"
review,translations_zh.csv,1094,CSV 英文残留,AUTO_RESOURCES_ASSETS_8F1229,"残留英文：NA, AN, ht"
review,translations_zh.csv,1095,CSV 原译文相同,AUTO_RESOURCES_ASSETS_90DB02,(18>BCFFFFFFFFFFFFFFFF;:68;=FFFFF>=94-$
review,translations_zh.csv,1095,CSV 英文残留,AUTO_RESOURCES_ASSETS_90DB02,"残留英文：BCFFFFFFFFFFFFFFFF, FFFFF"
review,translations_zh.csv,1096,CSV 英文残留,AUTO_RESOURCES_ASSETS_937AF1,"残留英文：yldddddddddddddddddddddddd, UKSPNIB"
review,translations_zh.csv,1097,CSV 原译文相同,AUTO_RESOURCES_ASSETS_93E6F7,"th[NE<ER]hmssssspk`TH;/"""
review,translations_zh.csv,1097,CSV 英文残留,AUTO_RESOURCES_ASSETS_93E6F7,"残留英文：th, NE, ER, hmssssspk, TH"
review,translations_zh.csv,1098,CSV 英文残留,AUTO_RESOURCES_ASSETS_93E725,"残留英文：HT, kotttttttttttttttttttttttttt"
review,translations_zh.csv,1099,CSV 原译文相同,AUTO_RESOURCES_ASSETS_97D27E,sf[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[an{
review,translations_zh.csv,1099,CSV 英文残留,AUTO_RESOURCES_ASSETS_97D27E,"残留英文：sf, an"
review,translations_zh.csv,1100,CSV 原译文相同,AUTO_RESOURCES_ASSETS_980A7E,sfYL@9999999999999999999999999999;HTan{
review,translations_zh.csv,1100,CSV 英文残留,AUTO_RESOURCES_ASSETS_980A7E,"残留英文：sfYL, HTan"
review,translations_zh.csv,1101,CSV 英文残留,AUTO_RESOURCES_ASSETS_980E7E,"残留英文：sfYL, HTan"
review,translations_zh.csv,1102,CSV 英文残留,AUTO_RESOURCES_ASSETS_98127E,"残留英文：sfYL, HTan"
review,translations_zh.csv,1103,CSV 英文残留,AUTO_RESOURCES_ASSETS_981A7E,"残留英文：sfYL, HTan"
review,translations_zh.csv,1104,CSV 英文残留,AUTO_RESOURCES_ASSETS_981E7E,"残留英文：sfYL, HTan"
review,translations_zh.csv,1105,CSV 英文残留,AUTO_RESOURCES_ASSETS_98227E,"残留英文：sfYL, HTan"
review,translations_zh.csv,1107,CSV 英文残留,AUTO_RESOURCES_ASSETS_98A694,"残留英文：yl, SF"
review,translations_zh.csv,1108,CSV 原译文相同,AUTO_RESOURCES_ASSETS_9972B9,'2=GOTVVVVVUSME<1.9CKQSVVVVVTSME;1%
review,translations_zh.csv,1108,CSV 英文残留,AUTO_RESOURCES_ASSETS_9972B9,"残留英文：GOTVVVVVUSME, CKQSVVVVVTSME"
review,translations_zh.csv,1109,CSV 原译文相同,AUTO_RESOURCES_ASSETS_9A9B35,"""-6>EIKSSSSSIHD=5+.7@FKLSSSSSHFB;3)"
